municipio,partido,votos,porcentaje
DAIREAUX,MOVIMIENTO AVANZADA SOCIALISTA,8.0,0.09
DAIREAUX,POLITICA OBRERA,5.0,0.05
DAIREAUX,ES CON VOS ES CON NOSOTROS,0.0,0.0
DAIREAUX,PARTIDO LIBERTARIO,0.0,0.0
DAIREAUX,UNION LIBERAL,0.0,0.0
ENSENADA,FUERZA PATRIA,26572.0,65.9
ENSENADA,LA LIBERTAD AVANZA,9762.0,24.21
ENSENADA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,1631.0,4.04
ENSENADA,SOMOS BUENOS AIRES,622.0,1.54
ENSENADA,POTENCIA,445.0,1.1
ENSENADA,NUEVOS AIRES,391.0,0.96
ENSENADA,PARTIDO LIBERTARIO,317.0,0.78
ENSENADA,UNION Y LIBERTAD,154.0,0.38
ENSENADA,UNION LIBERAL,113.0,0.28
ENSENADA,POLITICA OBRERA,71.0,0.17
ENSENADA,MOVIMIENTO AVANZADA SOCIALISTA,67.0,0.16
ENSENADA,VALORES REPUBLICANOS,46.0,0.11
ENSENADA,FRENTE PATRIOTA FEDERAL,43.0,0.1
ENSENADA,PARTIDO TIEMPO DE TODOS,41.0,0.1
ENSENADA,CONSTRUYENDO PORVENIR,39.0,0.09
ENSENADA,ES CON VOS ES CON NOSOTROS,5.0,0.01
ESTEBAN ECHEVERRIA,FUERZA PATRIA,77729.0,50.43
ESTEBAN ECHEVERRIA,LA LIBERTAD AVANZA,45201.0,29.33
ESTEBAN ECHEVERRIA,SOMOS BUENOS AIRES,9476.0,6.14
ESTEBAN ECHEVERRIA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,7551.0,4.89
ESTEBAN ECHEVERRIA,NUEVOS AIRES,5229.0,3.39
ESTEBAN ECHEVERRIA,UNION Y LIBERTAD,2844.0,1.84
ESTEBAN ECHEVERRIA,FRENTE PATRIOTA FEDERAL,999.0,0.64
ESTEBAN ECHEVERRIA,UNION LIBERAL,948.0,0.61
ESTEBAN ECHEVERRIA,POLITICA OBRERA,936.0,0.6
ESTEBAN ECHEVERRIA,POTENCIA,901.0,0.58
ESTEBAN ECHEVERRIA,MOVIMIENTO AVANZADA SOCIALISTA,718.0,0.46
ESTEBAN ECHEVERRIA,VALORES REPUBLICANOS,670.0,0.43
ESTEBAN ECHEVERRIA,PARTIDO TIEMPO DE TODOS,400.0,0.25
ESTEBAN ECHEVERRIA,CONSTRUYENDO PORVENIR,395.0,0.25
ESTEBAN ECHEVERRIA,ES CON VOS ES CON NOSOTROS,95.0,0.06
ESTEBAN ECHEVERRIA,PARTIDO LIBERTARIO,13.0,0.01
EXALTACION DE LA CRUZ,FUERZA PATRIA,9085.0,43.27
EXALTACION DE LA CRUZ,LA LIBERTAD AVANZA,7464.0,35.55
EXALTACION DE LA CRUZ,POTENCIA,1655.0,7.88
EXALTACION DE LA CRUZ,ESP. ABIERTO PARA EL DES. Y LA INT. SOCIAL,1226.0,5.83
EXALTACION DE LA CRUZ,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,464.0,2.21
EXALTACION DE LA CRUZ,PARTIDO LIBERTARIO,349.0,1.66
EXALTACION DE LA CRUZ,UNION LIBERAL,178.0,0.84
EXALTACION DE LA CRUZ,UNION Y LIBERTAD,131.0,0.62
EXALTACION DE LA CRUZ,MOVIMIENTO AVANZADA SOCIALISTA,98.0,0.46
EXALTACION DE LA CRUZ,POLITICA OBRERA,70.0,0.33
EXALTACION DE LA CRUZ,VALORES REPUBLICANOS,69.0,0.32
EXALTACION DE LA CRUZ,ES CON VOS ES CON NOSOTROS,64.0,0.3
EXALTACION DE LA CRUZ,CONSTRUYENDO PORVENIR,57.0,0.27
EXALTACION DE LA CRUZ,FRENTE PATRIOTA FEDERAL,43.0,0.2
EXALTACION DE LA CRUZ,PARTIDO TIEMPO DE TODOS,41.0,0.19
EZEIZA,FUERZA PATRIA,58647.0,60.65
EZEIZA,LA LIBERTAD AVANZA,24985.0,25.83
EZEIZA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,3529.0,3.64
EZEIZA,NUEVOS AIRES,2099.0,2.17
EZEIZA,PARTIDO LIBERTARIO,1894.0,1.95
EZEIZA,UNION Y LIBERTAD,1113.0,1.15
EZEIZA,SOMOS BUENOS AIRES,931.0,0.96
EZEIZA,POLITICA OBRERA,586.0,0.6
EZEIZA,UNION LIBERAL,523.0,0.54
EZEIZA,POTENCIA,488.0,0.5
EZEIZA,FRENTE PATRIOTA FEDERAL,459.0,0.47
EZEIZA,VALORES REPUBLICANOS,440.0,0.45
EZEIZA,MOVIMIENTO AVANZADA SOCIALISTA,380.0,0.39
EZEIZA,ES CON VOS ES CON NOSOTROS,235.0,0.24
EZEIZA,PARTIDO TIEMPO DE TODOS,207.0,0.21
EZEIZA,CONSTRUYENDO PORVENIR,177.0,0.18
FLORENCIO VARELA,FUERZA PATRIA,114436.0,55.66
FLORENCIO VARELA,LA LIBERTAD AVANZA,48875.0,23.77
FLORENCIO VARELA,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,12457.0,6.05
FLORENCIO VARELA,NUEVOS AIRES,7078.0,3.44
FLORENCIO VARELA,SOMOS BUENOS AIRES,5920.0,2.87
FLORENCIO VARELA,PARTIDO LIBERTARIO,4172.0,2.02
FLORENCIO VARELA,UNION Y LIBERTAD,3204.0,1.55
FLORENCIO VARELA,UNION LIBERAL,1824.0,0.88
FLORENCIO VARELA,POLITICA OBRERA,1713.0,0.83
FLORENCIO VARELA,POTENCIA,1565.0,0.76
FLORENCIO VARELA,MOVIMIENTO AVANZADA SOCIALISTA,1078.0,0.52
FLORENCIO VARELA,VALORES REPUBLICANOS,850.0,0.41
FLORENCIO VARELA,FRENTE PATRIOTA FEDERAL,797.0,0.38
FLORENCIO VARELA,PARTIDO TIEMPO DE TODOS,735.0,0.35
FLORENCIO VARELA,CONSTRUYENDO PORVENIR,577.0,0.28
FLORENCIO VARELA,ES CON VOS ES CON NOSOTROS,314.0,0.15
GENERAL LAMADRID,FUERZA PATRIA,2016.0,36.7
GENERAL LAMADRID,SOMOS BUENOS AIRES,1738.0,31.64
GENERAL LAMADRID,LA LIBERTAD AVANZA,1533.0,27.9
GENERAL LAMADRID,FTE DE IZQ. Y DE TRABAJADORES - UNIDAD,51.0,0.92
GENERAL LAMADRID,UNION Y LIBERTAD,42.0,0.76
GENERAL LAMADRID,PARTIDO TIEMPO DE TODOS,24.0,0.43
GENERAL LAMADRID,POTENCIA,22.0,0.4
GENERAL LAMADRID,MOVIMIENTO AVANZADA SOCIALISTA,21.0,0.38
GENERAL LAMADRID,VALORES REPUBLICANOS,16.0,0.29
